                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4518,                 2.1117,                 1.9254,                0.45746,                0.50658,                0.45536,                0.28921,                 1.4144,                  1.892,                 1.9375,              0.0003636,              0.0003636,              0.0003636
                      2,                 1.4039,                  2.072,                  1.901,                0.33315,                0.41053,                0.34212,                0.21984,                 1.4156,                   2.15,                  1.955,              0.0006976,              0.0006976,              0.0006976
                      3,                 1.3865,                 2.0821,                 1.8823,                0.33698,                0.41671,                0.35353,                0.23535,                  1.359,                 2.1297,                 1.9215,             0.00099494,             0.00099494,             0.00099494
                      4,                 1.4398,                 2.1484,                  1.903,                0.41865,                0.38771,                0.37503,                0.24495,                 1.3924,                 2.0003,                 1.9493,             0.00094602,             0.00094602,             0.00094602
                      5,                 1.3909,                 2.0899,                 1.8798,                0.39018,                 0.4384,                0.39949,                0.26403,                 1.3428,                 1.9554,                 1.9172,             0.00089102,             0.00089102,             0.00089102
                      6,                 1.3677,                 2.0633,                 1.8627,                0.37674,                0.46505,                0.38973,                0.25518,                 1.3082,                 1.9446,                 1.8802,             0.00083603,             0.00083603,             0.00083603
                      7,                 1.3838,                 2.0663,                 1.8672,                0.49461,                0.44437,                 0.4655,                0.31808,                 1.3077,                 1.8535,                 1.8744,             0.00078103,             0.00078103,             0.00078103
                      8,                 1.3857,                 2.0084,                 1.8677,                0.50732,                0.46755,                0.48121,                0.33342,                 1.2355,                 1.7046,                 1.8002,             0.00072604,             0.00072604,             0.00072604
                      9,                 1.3169,                 1.9297,                 1.8225,                0.51524,                0.51775,                0.54589,                0.37846,                 1.2304,                 1.6036,                 1.7825,             0.00067104,             0.00067104,             0.00067104
                     10,                 1.3018,                 1.9221,                 1.8035,                0.49961,                0.49436,                0.50801,                0.35756,                  1.232,                 1.6376,                 1.7752,             0.00061605,             0.00061605,             0.00061605
                     11,                 1.2441,                 1.7522,                 1.7863,                0.60242,                0.48768,                0.56471,                0.39007,                 1.2339,                 1.5607,                 1.7845,             0.00056105,             0.00056105,             0.00056105
                     12,                 1.2139,                 1.6906,                 1.7457,                0.59815,                0.53792,                0.59062,                0.42017,                 1.1719,                 1.4858,                  1.703,             0.00050606,             0.00050606,             0.00050606
                     13,                  1.191,                 1.6065,                 1.7296,                0.66707,                0.53434,                0.61702,                0.44898,                 1.1131,                 1.4371,                 1.6552,             0.00045107,             0.00045107,             0.00045107
                     14,                 1.1338,                  1.568,                 1.6786,                0.65472,                0.57682,                0.63954,                 0.4734,                 1.0897,                 1.4149,                 1.6391,             0.00039607,             0.00039607,             0.00039607
                     15,                 1.1185,                  1.531,                 1.6495,                0.66369,                0.56903,                 0.6642,                0.48561,                 1.0896,                 1.3946,                 1.6351,             0.00034108,             0.00034108,             0.00034108
                     16,                 1.0842,                 1.4554,                 1.6395,                0.69699,                 0.6069,                0.70174,                0.52056,                 1.0335,                 1.2561,                 1.5855,             0.00028608,             0.00028608,             0.00028608
                     17,                  1.081,                 1.4076,                 1.6452,                0.73223,                0.60632,                0.70607,                0.53375,                  1.021,                 1.2178,                 1.5802,             0.00023109,             0.00023109,             0.00023109
                     18,                 1.0503,                 1.3845,                  1.616,                0.77262,                0.62092,                0.73425,                0.55045,                 1.0016,                 1.1745,                 1.5561,             0.00017609,             0.00017609,             0.00017609
                     19,                 1.0255,                 1.3666,                 1.5775,                0.75251,                0.64387,                0.74838,                0.57268,                0.97162,                 1.1512,                 1.5252,              0.0001211,              0.0001211,              0.0001211
                     20,                 1.0413,                 1.3631,                 1.5814,                0.75298,                0.64542,                0.75389,                0.57586,                0.96886,                 1.1327,                 1.5197,             6.6105e-05,             6.6105e-05,             6.6105e-05
